,pitch,roll,yaw,eye_pitch,eye_yaw,magnitude,actual_label
97,5.607292702682935,7.655570572542586,-32.783393106627415,-4.520693444309117,-0.48094742470215496,12,gazing
98,5.2716519369832335,7.171159005686923,-32.81056170623914,-5.067703316053353,2.1318059960435525,8,gazing
99,6.303987687492038,7.147785929865346,-31.854163437395073,-9.818273292800498,19.514870614837665,13,gazing
100,5.783598730183271,7.700946173684218,-32.891624859296414,-14.974174825086331,20.505990611458508,18,gazing
101,5.5926239392567005,8.484710657591313,-31.416544764380088,-14.907083222310916,21.35519016367274,20,gazing
102,7.742268240431755,9.511455455286221,-28.09467571155028,-14.798906251362066,22.588051370120464,22,gazing
103,8.026323141692234,8.941773847022974,-28.25099036507864,-19.511361344012887,20.670784738492483,24,gazing
104,7.994802642433031,9.588475037832179,-27.964711542051266,-16.500648282160654,27.88923355110287,28,gazing
105,5.461200513158659,9.18979229733813,-26.526015083108042,-15.424862694544181,26.82429233412459,27,gazing
106,5.75550753317589,8.954651003817604,-26.388257596755505,-15.97819337576393,18.951157029419704,20,gazing
107,6.681005171627027,9.006244077278708,-26.462087412697112,-14.314546022988841,23.758382307145094,24,gazing
108,6.048825717616228,8.79801571665627,-26.406031969497942,-14.556978386110304,24.71419612570755,25,gazing
109,6.641348473621823,9.575953042047306,-25.769280423564698,-18.402924154450904,22.85240406345331,26,gazing
110,6.033834367420808,9.295800802190408,-25.876330162202855,-14.998897979734897,26.240105183694528,27,gazing
111,4.502466839786284,8.13216685744143,-25.187746447445956,-16.309181787117634,19.80752421577862,22,gazing
112,5.082465654055718,8.172668289917118,-25.44987266137454,-14.489742119020516,28.002218517759527,28,gazing
113,5.086890763071562,8.437879959744608,-24.210561540671193,-9.066194395030355,24.246021365904756,23,gazing
114,3.3817792881046476,7.2371791466014574,-24.264431081001764,-13.322046728331578,23.83910033117992,24,gazing
115,-0.5597938735282867,4.802238936249603,-21.16787743179527,-10.77510313795829,18.437915606243486,18,gazing
116,1.0319930396680863,4.140362512059842,-20.190897168263863,-9.99529101736787,19.57563286306023,18,gazing
117,0.9202220055739156,5.167255618434222,-21.218788976137567,-13.179946282914548,18.78547231826802,19,gazing
118,1.8042467540983556,5.512103882630547,-22.38693561933898,-14.222637175983659,21.710492110044445,23,gazing
119,2.500174229498112,5.6937188043898574,-21.93574941273541,-9.13744898926996,18.718541832953175,17,gazing
120,3.159837675980638,5.706540302398141,-21.925851131209704,-13.320088618829457,22.634823927923325,23,gazing
121,2.6012988786542692,6.131091277066834,-22.878252588395988,-13.74448663824999,17.066276786948734,18,gazing
122,1.3426691733293012,5.33082762002696,-21.537830108299037,-20.36327959936535,14.822960295037628,23,gazing
123,1.861425346660611,5.226093503818947,-22.635758000239267,-17.889709685674905,20.94526172382271,25,gazing
124,1.3029104546526846,5.297151664826442,-21.339601345070484,-13.677991575447844,19.073144563353228,20,gazing
125,1.113979385759417,4.953475787530043,-20.562476036210477,-17.89126501353872,18.065757022537813,21,gazing
126,1.213030875719369,5.174336179957086,-21.079734443925464,-13.939112906303052,21.0334023936203,22,gazing
127,1.9759545791221245,5.675974571720899,-22.11943452537878,-12.618695589606187,21.34863341474249,21,gazing
128,2.0179202032810517,5.326212117484101,-21.28257739750973,-12.541834753975188,19.25246893107568,19,gazing
129,1.579235585458803,5.08193657229729,-21.229248011630734,-13.425171118969715,18.560550491454016,19,gazing
130,1.707730355614233,5.093794590799918,-21.612014351167232,-9.702392647662734,21.292279899412165,20,gazing
131,-0.5098656863163424,2.612868142372602,-15.159676371641671,-13.48976264326204,12.313049498392402,15,gazing
132,-1.0978051260708064,2.496968685956811,-11.390048691880757,-10.890305047425796,9.816419043503371,11,gazing
133,-0.36187439106915503,2.870672399523122,-8.890872486619237,-11.059597696391624,21.647723018468476,24,gazing
134,-0.6571129072845602,2.6799703009049702,-9.317673626850295,-5.218838381595917,13.398629390396058,13,gazing
135,-0.2018861249942619,2.3607127214201524,-9.409552426474862,-9.778113983599162,9.45535891364561,11,gazing
136,0.2503262808247105,2.32090509105185,-9.657203270865953,-12.489605406269218,15.113916142806781,18,gazing
