Threshold Value = 12,,, ,
Total images = 1336,,,,
,,,,
,,,,
,,,Actual Value,
,,,,
,,,Gazing,Gazing else where
,Predicted Value,Gazing,      TP = 259,     FP = 165
,,Gazing else where,      FN = 16,     TN = 896
