,file_name,pitch,roll,yaw,eye_pitch,eye_yaw,magnitude,label,predicted_label,actual_label
0,0.jpg,-1.4063796304727252,1.0070224522042104,1.5181178569233793,8.593187203937386,17.733138005894098,22,head_straight_eye_right_30,gazing else where,gazing else where
1,1.jpg,-2.1119838503440413,1.2008904868519672,1.5516324100796481,10.978632608678234,19.089553169340245,24,head_straight_eye_right_30,gazing else where,gazing else where
2,2.jpg,-2.1119838503440413,1.2008904868519672,1.5516324100796481,10.978632608678234,19.089553169340245,24,head_straight_eye_right_30,gazing else where,gazing else where
3,3.jpg,-1.3513201823545793,1.0155729515462992,1.3529161792084003,12.661514115702614,20.712847622872314,26,head_straight_eye_right_30,gazing else where,gazing else where
4,4.jpg,-1.3513201823545793,1.0155729515462992,1.3529161792084003,12.661514115702614,20.712847622872314,26,head_straight_eye_right_30,gazing else where,gazing else where
5,5.jpg,-1.4427011113864143,0.8042593616945583,1.7345911415450443,11.108205594274402,17.997947631095297,24,head_straight_eye_right_30,gazing else where,gazing else where
6,6.jpg,-1.4427011113864143,0.8042593616945583,1.7345911415450443,11.108205594274402,17.997947631095297,24,head_straight_eye_right_30,gazing else where,gazing else where
7,7.jpg,-1.9471901189240073,0.902962578313339,1.434916192835413,12.969708574419679,16.974633947198818,23,head_straight_eye_right_30,gazing else where,gazing else where
8,8.jpg,-1.9471901189240073,0.902962578313339,1.434916192835413,12.969708574419679,16.974633947198818,23,head_straight_eye_right_30,gazing else where,gazing else where
9,9.jpg,-1.9103639088143343,0.8825490055555374,1.069440439735459,11.435522436295633,21.237505673081504,26,head_straight_eye_right_30,gazing else where,gazing else where
10,10.jpg,-1.9103639088143343,0.8825490055555374,1.069440439735459,11.435522436295633,21.237505673081504,26,head_straight_eye_right_30,gazing else where,gazing else where
11,11.jpg,-1.327673456311054,0.8741430270088553,1.0051862675079926,10.461798791369958,24.535313698909153,30,head_straight_eye_right_30,gazing else where,gazing else where
12,12.jpg,-1.327673456311054,0.8741430270088553,1.0051862675079926,10.461798791369958,24.535313698909153,30,head_straight_eye_right_30,gazing else where,gazing else where
