,file_name,pitch,roll,yaw,eye_pitch,eye_yaw,magnitude,label,predicted_label,actual_label
0,0.jpg,0.8478158297426823,-2.6679042044021317,-3.178218714553117,-1.6024358923595303,-19.644140989480036,23,head_straight_eye_left_30,gazing else where,gazing else where
1,1.jpg,0.9330314311493704,-2.721101264259908,-3.5496840371996714,6.9531483689857785,-10.989688002695646,15,head_straight_eye_left_30,gazing else where,gazing else where
2,2.jpg,0.9330314311493704,-2.721101264259908,-3.5496840371996714,6.9531483689857785,-10.989688002695646,15,head_straight_eye_left_30,gazing else where,gazing else where
3,3.jpg,0.9202362092920606,-2.874462235060659,-3.9509618631359444,3.2269754381394433,-6.537801838721554,9,head_straight_eye_left_30,gazing,gazing else where
4,4.jpg,0.9202362092920606,-2.874462235060659,-3.9509618631359444,3.2269754381394433,-6.537801838721554,9,head_straight_eye_left_30,gazing,gazing else where
5,5.jpg,1.047249304789322,-2.8500956438634186,-3.836005288058227,9.89653135209924,-14.49122459806394,21,head_straight_eye_left_30,gazing else where,gazing else where
6,6.jpg,1.047249304789322,-2.8500956438634186,-3.836005288058227,9.89653135209924,-14.49122459806394,21,head_straight_eye_left_30,gazing else where,gazing else where
7,7.jpg,1.179383756053425,-2.8506356784541116,-3.6788636209661862,5.59848358195494,-11.529827867411344,16,head_straight_eye_left_30,gazing else where,gazing else where
8,8.jpg,1.179383756053425,-2.8506356784541116,-3.6788636209661862,5.59848358195494,-11.529827867411344,16,head_straight_eye_left_30,gazing else where,gazing else where
9,9.jpg,1.5319195317794165,-2.407539195685603,-4.581164686905709,5.4175533736001125,-8.974434453268923,13,head_straight_eye_left_30,gazing,gazing else where
10,10.jpg,1.5319195317794165,-2.407539195685603,-4.581164686905709,5.4175533736001125,-8.974434453268923,13,head_straight_eye_left_30,gazing,gazing else where
11,11.jpg,1.5635931155417027,-2.631810695130806,-3.967786837249984,4.79803259539162,-5.855277724546334,10,head_straight_eye_left_30,gazing,gazing else where
12,12.jpg,1.5635931155417027,-2.631810695130806,-3.967786837249984,4.79803259539162,-5.855277724546334,10,head_straight_eye_left_30,gazing,gazing else where
13,13.jpg,1.6731808870044909,-2.574657144282133,-4.0435214854179415,5.6505418353230725,-10.058626848072125,13,head_straight_eye_left_30,gazing,gazing else where
14,14.jpg,1.6731808870044909,-2.574657144282133,-4.0435214854179415,5.6505418353230725,-10.058626848072125,13,head_straight_eye_left_30,gazing,gazing else where
15,15.jpg,1.581512763770338,-2.662859481998782,-4.627468737719308,8.201230738118229,-13.86090095620767,17,head_straight_eye_left_30,gazing else where,gazing else where
16,16.jpg,1.581512763770338,-2.662859481998782,-4.627468737719308,8.201230738118229,-13.86090095620767,17,head_straight_eye_left_30,gazing else where,gazing else where
17,17.jpg,0.9283944896026837,-2.6821514415513863,-3.620511179185264,4.362223543067032,-9.014171854025467,11,head_straight_eye_left_30,gazing,gazing else where
18,18.jpg,0.9283944896026837,-2.6821514415513863,-3.620511179185264,4.362223543067032,-9.014171854025467,11,head_straight_eye_left_30,gazing,gazing else where
19,19.jpg,1.0617613252522253,-2.709420090063112,-3.9421610982253545,4.3561063629262184,-13.350531355033342,16,head_straight_eye_left_30,gazing else where,gazing else where
20,20.jpg,1.0617613252522253,-2.709420090063112,-3.9421610982253545,4.3561063629262184,-13.350531355033342,16,head_straight_eye_left_30,gazing else where,gazing else where
21,21.jpg,1.874739450497909,-2.396200049771549,-3.96207405750134,5.153576867082225,-5.935301628816631,9,head_straight_eye_left_30,gazing,gazing else where
22,22.jpg,1.874739450497909,-2.396200049771549,-3.96207405750134,5.153576867082225,-5.935301628816631,9,head_straight_eye_left_30,gazing,gazing else where
23,23.jpg,1.2960248025561554,-2.36355361019973,-4.0096531387170495,4.792370750002986,-5.078639802835156,8,head_straight_eye_left_30,gazing,gazing else where
24,24.jpg,1.2960248025561554,-2.36355361019973,-4.0096531387170495,4.792370750002986,-5.078639802835156,8,head_straight_eye_left_30,gazing,gazing else where
25,25.jpg,0.9019408187636084,-2.3779656319958313,-3.8636944833187585,4.077270227468454,-5.9820082403340455,9,head_straight_eye_left_30,gazing,gazing else where
26,26.jpg,0.9019408187636084,-2.3779656319958313,-3.8636944833187585,4.077270227468454,-5.9820082403340455,9,head_straight_eye_left_30,gazing,gazing else where
27,27.jpg,1.3508522269137246,-2.3919906210567703,-4.37004417454457,3.1220027268851527,-8.729274913521646,11,head_straight_eye_left_30,gazing,gazing else where
28,28.jpg,1.3508522269137246,-2.3919906210567703,-4.37004417454457,3.1220027268851527,-8.729274913521646,11,head_straight_eye_left_30,gazing,gazing else where
29,29.jpg,1.1313670260210253,-2.5387669385106464,-4.482251280369708,2.4263429903616975,0.0021435281815342455,3,head_straight_eye_left_30,gazing,gazing else where
30,30.jpg,1.1313670260210253,-2.5387669385106464,-4.482251280369708,2.4263429903616975,0.0021435281815342455,3,head_straight_eye_left_30,gazing,gazing else where
31,31.jpg,1.6084093212305732,-2.599633088673651,-4.733259539494842,4.812617072697515,-3.752399521305805,7,head_straight_eye_left_30,gazing,gazing else where
32,32.jpg,1.6084093212305732,-2.599633088673651,-4.733259539494842,4.812617072697515,-3.752399521305805,7,head_straight_eye_left_30,gazing,gazing else where
33,33.jpg,2.426024958445604,-2.665515187325091,-4.264105140746605,1.2283880935017393,-6.068889091213208,8,head_straight_eye_left_30,gazing,gazing else where
34,34.jpg,2.426024958445604,-2.665515187325091,-4.264105140746605,1.2283880935017393,-6.068889091213208,8,head_straight_eye_left_30,gazing,gazing else where
35,35.jpg,1.4093885485711672,-2.836189842877418,-4.166681170209064,2.705099832685329,-5.825512440679854,8,head_straight_eye_left_30,gazing,gazing else where
36,36.jpg,1.4093885485711672,-2.836189842877418,-4.166681170209064,2.705099832685329,-5.825512440679854,8,head_straight_eye_left_30,gazing,gazing else where
37,37.jpg,0.8043144607656955,-2.804931111925104,-4.119827807968927,5.833135651059364,-14.717669430328872,19,head_straight_eye_left_30,gazing else where,gazing else where
38,38.jpg,0.8043144607656955,-2.804931111925104,-4.119827807968927,5.833135651059364,-14.717669430328872,19,head_straight_eye_left_30,gazing else where,gazing else where
39,39.jpg,1.154284651296098,-2.916335989821754,-3.989950694622824,1.9091341508918709,-3.4590337286887536,6,head_straight_eye_left_30,gazing,gazing else where
40,40.jpg,1.154284651296098,-2.916335989821754,-3.989950694622824,1.9091341508918709,-3.4590337286887536,6,head_straight_eye_left_30,gazing,gazing else where
41,41.jpg,1.0879372075937799,-2.757333479940862,-4.281995292564227,4.193819837405497,-6.827446741653312,10,head_straight_eye_left_30,gazing,gazing else where
42,42.jpg,1.0879372075937799,-2.757333479940862,-4.281995292564227,4.193819837405497,-6.827446741653312,10,head_straight_eye_left_30,gazing,gazing else where
43,43.jpg,1.6743978897647063,-2.7042397088007357,-4.319963019924742,5.908644083738492,-11.396917035089828,15,head_straight_eye_left_30,gazing else where,gazing else where
44,44.jpg,1.6743978897647063,-2.7042397088007357,-4.319963019924742,5.908644083738492,-11.396917035089828,15,head_straight_eye_left_30,gazing else where,gazing else where
45,45.jpg,1.2675045768052202,-2.7866529133519724,-4.001562512205252,3.790327734874462,-8.830892859467605,12,head_straight_eye_left_30,gazing,gazing else where
46,46.jpg,1.2675045768052202,-2.7866529133519724,-4.001562512205252,3.790327734874462,-8.830892859467605,12,head_straight_eye_left_30,gazing,gazing else where
47,47.jpg,1.0878263614118608,-2.573420720337601,-3.921314992825019,4.572488313364073,-7.818729005486881,11,head_straight_eye_left_30,gazing,gazing else where
48,48.jpg,1.0878263614118608,-2.573420720337601,-3.921314992825019,4.572488313364073,-7.818729005486881,11,head_straight_eye_left_30,gazing,gazing else where
49,49.jpg,0.7877407291506813,-2.645355104404702,-3.8035002133402243,3.5683249888906645,-8.617672350931517,11,head_straight_eye_left_30,gazing,gazing else where
50,50.jpg,0.7877407291506813,-2.645355104404702,-3.8035002133402243,3.5683249888906645,-8.617672350931517,11,head_straight_eye_left_30,gazing,gazing else where
51,51.jpg,0.2658303363099521,-2.569881924142381,-3.7086251116609867,-0.5417488339662114,-1.1277128800234226,4,head_straight_eye_left_30,gazing,gazing else where
52,52.jpg,0.2658303363099521,-2.569881924142381,-3.7086251116609867,-0.5417488339662114,-1.1277128800234226,4,head_straight_eye_left_30,gazing,gazing else where
53,53.jpg,0.03248613233240342,-2.8764869400664432,-3.821253789981245,-1.320033373384737,2.274691644026375,3,head_straight_eye_left_30,gazing,gazing else where
54,54.jpg,0.03248613233240342,-2.8764869400664432,-3.821253789981245,-1.320033373384737,2.274691644026375,3,head_straight_eye_left_30,gazing,gazing else where
55,55.jpg,0.44279510830511976,-2.753558100438003,-4.165287701546051,6.274031618465865,-13.450828914034547,18,head_straight_eye_left_30,gazing else where,gazing else where
56,56.jpg,0.44279510830511976,-2.753558100438003,-4.165287701546051,6.274031618465865,-13.450828914034547,18,head_straight_eye_left_30,gazing else where,gazing else where
57,57.jpg,0.49136083079253934,-2.62133726601916,-4.130459829634107,5.445925383083454,-8.813718753543876,13,head_straight_eye_left_30,gazing,gazing else where
58,58.jpg,0.49136083079253934,-2.62133726601916,-4.130459829634107,5.445925383083454,-8.813718753543876,13,head_straight_eye_left_30,gazing,gazing else where
59,59.jpg,0.7934559854369557,-2.671358534815524,-3.892912029561653,5.178594832968999,-13.444474104779692,16,head_straight_eye_left_30,gazing else where,gazing else where
60,60.jpg,0.7934559854369557,-2.671358534815524,-3.892912029561653,5.178594832968999,-13.444474104779692,16,head_straight_eye_left_30,gazing else where,gazing else where
61,61.jpg,0.5315403907382166,-2.597625554766535,-4.183814907982167,5.335506248211738,0.04328517888311444,4,head_straight_eye_left_30,gazing,gazing else where
62,62.jpg,0.5315403907382166,-2.597625554766535,-4.183814907982167,5.335506248211738,0.04328517888311444,4,head_straight_eye_left_30,gazing,gazing else where
63,63.jpg,0.6989636922354149,-2.5725481778584416,-3.7996449689713367,5.733622842007822,-10.100977096609034,14,head_straight_eye_left_30,gazing,gazing else where
64,64.jpg,0.6989636922354149,-2.5725481778584416,-3.7996449689713367,5.733622842007822,-10.100977096609034,14,head_straight_eye_left_30,gazing,gazing else where
65,65.jpg,1.1781262010002649,-2.7520555768898127,-3.641372217871057,3.8450664572250752,-8.085045677696167,11,head_straight_eye_left_30,gazing,gazing else where
66,66.jpg,1.1781262010002649,-2.7520555768898127,-3.641372217871057,3.8450664572250752,-8.085045677696167,11,head_straight_eye_left_30,gazing,gazing else where
67,67.jpg,0.8773443429148645,-2.483225172260727,-3.5006381491005,6.785622092045614,-4.414155994636014,9,head_straight_eye_left_30,gazing,gazing else where
68,68.jpg,0.8773443429148645,-2.483225172260727,-3.5006381491005,6.785622092045614,-4.414155994636014,9,head_straight_eye_left_30,gazing,gazing else where
69,69.jpg,0.6539241632022551,-2.5933382888516756,-3.9537769256621496,5.104039762804612,-14.198812221613432,17,head_straight_eye_left_30,gazing else where,gazing else where
70,70.jpg,0.6539241632022551,-2.5933382888516756,-3.9537769256621496,5.104039762804612,-14.198812221613432,17,head_straight_eye_left_30,gazing else where,gazing else where
71,71.jpg,1.2077142368191605,-2.51368733539656,-4.147200952155498,5.193001875452139,-10.10333724287132,14,head_straight_eye_left_30,gazing,gazing else where
72,72.jpg,1.2077142368191605,-2.51368733539656,-4.147200952155498,5.193001875452139,-10.10333724287132,14,head_straight_eye_left_30,gazing,gazing else where
